n,design,distr,effectX1,effectX2,effectX1X2,X1,X2,X1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
16,4x3,likert5B,0,0,0,0.0034,0.0089,0.031,0.0095,0.0312,0.0285,0.0133,0.0238,0.0338,0.003,0.0077,0.0448,0.011,0.0344,0.031
16,4x3,likert5B,0,0,0,0.0276,0.0229,0.0215,0.0065,0.0328,0.029,0.0085,0.0293,0.0278,0.0172,0.0132,0.0351,0.0066,0.031,0.0283
16,4x3,likert5B,0,0,0,0.011,0.0337,0.0292,0.0172,0.0116,0.035,0.0303,0.0109,0.0307,0.0491,0.0171,0.02,0.0242,0.0082,0.0264
16,4x3,likert5B,0,0,0,0.0436,0.0042,0.0273,0.0431,0.0021,0.0316,0.0348,0.0031,0.0342,0.045,0.003,0.0465,0.0413,0.0024,0.0326
16,4x3,likert5B,0,0,0,0.0427,0.0076,0.0256,0.0145,0.0038,0.0388,0.0238,0.0027,0.0459,0.05,0.0301,0.0509,0.0246,0.001,0.0469
16,4x3,likert5B,0,0,0,0.0218,0.011,0.0674,0.0155,0.0007,0.0568,0.0213,0.0007,0.0388,0.0412,0.0044,0.0526,0.0179,0.0012,0.0482
16,4x3,likert5B,0,0,0,0.0598,0.0271,0.0354,0.0653,0.0196,0.0513,0.0576,0.0163,0.0389,0.1025,0.0225,0.0438,0.0705,0.022,0.0512
16,4x3,likert5B,0,0,0,0.0108,0.0193,0.0896,0.0278,0.0185,0.0636,0.0259,0.0188,0.0607,0.0356,0.0269,0.0454,0.0282,0.0178,0.0658
16,4x3,likert5B,0,0,0,0.008,0.0027,0.0404,0.0078,0.0086,0.0523,0.0108,0.007,0.0489,0.0034,0.0074,0.0338,0.0079,0.0043,0.0425
16,4x3,likert5B,0,0,0,0.0143,0.0008,0.0342,0.0111,0.0014,0.0119,0.0095,0.001,0.0128,0.0107,0.0126,0.0175,0.0124,0.0007,0.0157
16,4x3,likert5B,0,0,0,0.0025,0.0088,0.0224,0.0197,0.0054,0.0153,0.0033,0.0098,0.0062,0.0465,0.0348,0.0148,0.0046,0.0069,0.0091
16,4x3,likert5B,0,0,0,0.0009,0.0012,0.0306,0.0045,0.0008,0.0346,0.0037,0.0023,0.0274,0.0058,0.0033,0.0502,0.0036,0.0009,0.0321
16,4x3,likert5B,0,0,0,0.0257,0.0203,0.0172,0.0242,0.0154,0.0231,0.0206,0.0117,0.0266,0.0534,0.0034,0.0071,0.0181,0.0144,0.0255
