n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,2x3,norm,-1.4404,-2.6605,-1.0193,0.4872,0.9729,0.2311,0.4829,0.9927,0.244,0.4746,0.9787,0.2233,0.4621,0.9349,0.2301,0.4872,0.9729,0.2311
20,2x3,norm,-0.9132,1.1813,-3.3418,0.3738,0.5468,0.7063,0.3991,0.5314,0.7129,0.3384,0.5384,0.716,0.3625,0.5412,0.7032,0.3738,0.5468,0.7063
20,2x3,norm,1.686,2.2463,-1.541,0.6569,0.6962,0.2388,0.677,0.7049,0.2991,0.6765,0.6884,0.2177,0.6676,0.6911,0.2476,0.6569,0.6962,0.2388
20,2x3,norm,0.5067,-3.0548,1.933,0.1119,1.0945,0.4487,0.1512,1.1034,0.4248,0.1312,1.1051,0.4853,0.1234,1.0031,0.4217,0.1119,1.0945,0.4487
20,2x3,norm,1.7269,3.6162,-1.5551,0.6147,1.1286,0.2348,0.6006,1.1541,0.1109,0.6609,1.2168,0.2112,0.5931,1.1122,0.1552,0.6147,1.1286,0.2348
20,2x3,norm,3.5945,-2.8754,-1.7655,1.7421,1.1484,0.4053,1.6868,0.9147,0.1134,1.5913,1.1551,0.4157,1.4923,0.936,0.1638,1.7421,1.1484,0.4053
20,2x3,norm,2.6619,-3.7464,0.7299,1.3105,1.6547,0.3135,1.3141,1.6848,0.3384,1.4195,1.7244,0.2941,1.18,1.4707,0.1613,1.3105,1.6547,0.3135
20,2x3,norm,-2.9723,-1.7971,-3.2358,1.3574,0.7131,0.7778,1.2612,0.4712,0.5468,1.4849,0.7568,0.8243,1.1426,0.4613,0.5152,1.3574,0.7131,0.7778
20,2x3,norm,1.3218,0.674,-3.8154,0.6179,0.2583,0.9276,0.6307,0.244,0.9743,0.615,0.2374,0.9496,0.5633,0.2564,0.8816,0.6179,0.2583,0.9276
20,2x3,norm,-1.4865,-3.6038,-3.2874,0.6381,1.5865,0.6796,0.6836,1.6496,0.6883,0.6288,1.3743,0.6641,0.5303,1.3978,0.6394,0.6381,1.5865,0.6796
20,2x3,norm,3.7946,-3.8209,0.5603,2.1294,1.8993,0.0801,1.6987,1.4004,0.1303,1.7138,1.4109,0.0546,1.505,1.3017,0.0445,2.1294,1.8993,0.0801
20,2x3,norm,2.4356,0.2696,3.7627,1.1953,0.1542,0.8273,1.1711,0.1366,0.7872,1.2197,0.1709,0.8585,1.129,0.1257,0.8482,1.1953,0.1542,0.8273
20,2x3,norm,-2.8522,2.4695,2.1386,1.4854,0.991,0.4803,1.4256,0.8818,0.336,1.5988,1.026,0.4585,1.2434,0.8345,0.2535,1.4854,0.991,0.4803
20,2x3,norm,-2.0183,0.1337,0.5903,0.655,0.1952,0.1681,0.6443,0.214,0.1711,0.6479,0.2027,0.1838,0.6346,0.2095,0.1835,0.655,0.1952,0.1681
20,2x3,norm,0.0482,0.7495,1.1415,0.1283,0.3562,0.2596,0.1357,0.3412,0.2644,0.1372,0.3403,0.2771,0.1379,0.3666,0.26,0.1283,0.3562,0.2596
