n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,2x3,norm,-1.3532,2.0682,0,0.7917,0.9319,0.0924,0.7721,0.9413,0.1312,0.7908,0.931,0.108,0.7707,0.9322,0.0685,0.7917,0.9319,0.0924
20,2x3,norm,-7.1479,-6.902,0,2.9984,2.5344,0.122,2.7975,2.2672,0.2946,1.7335,2.4853,0.1192,2.1859,1.912,0.0581,2.9984,2.5344,0.122
20,2x3,norm,5.9035,-1.0326,0,2.7741,0.4194,0.0592,1.8501,0.3707,0.0568,1.7332,0.3704,0.0346,1.4383,0.399,0.0306,2.7741,0.4194,0.0592
20,2x3,norm,-3.5479,1.934,0,1.9547,0.9205,0.1137,2.0809,0.9267,0.0582,1.707,0.9373,0.1192,1.6843,0.9056,0.1608,1.9547,0.9205,0.1137
20,2x3,norm,6.3657,-4.1647,0,2.9098,1.5074,0.0978,3.0607,1.4779,0.0843,1.7328,1.4956,0.1112,2.0858,1.2095,0.0813,2.9098,1.5074,0.0978
20,2x3,norm,-0.5212,-1.9163,0,0.302,0.608,0.0404,0.3287,0.6188,0.0528,0.2912,0.6148,0.0467,0.3138,0.6089,0.0439,0.302,0.608,0.0404
20,2x3,norm,-3.8917,2.5403,0,1.5885,0.8607,0.1658,1.7235,0.9118,0.2131,1.6122,0.8998,0.1896,1.4266,0.8302,0.1369,1.5885,0.8607,0.1658
20,2x3,norm,-0.491,-2.1278,0,0.1484,0.5921,0.0238,0.138,0.6089,0.054,0.1339,0.5992,0.07,0.1382,0.5843,0.0137,0.1484,0.5921,0.0238
20,2x3,norm,0.4139,1.7042,0,0.1822,0.9475,0.0959,0.1883,0.938,0.1029,0.1594,0.9402,0.1112,0.2016,0.9109,0.0989,0.1822,0.9475,0.0959
20,2x3,norm,6.9253,-0.3935,0,3.4598,0.1843,0.0958,1.767,0.1722,0.1037,1.7327,0.1652,0.1017,1.3548,0.1505,0.0818,3.4598,0.1843,0.0958
