n,design,family,method,alpha,effectX1,effectX2,effectX1X2,effectX3,rateX1,rateX2,rateX1X2,rateX3,rateX1X3,rateX2X3,rateX1X2X3
20,2x3,exp,ART,0.01,2,0,0,0,1,0.2058,0.211,0,0,0,0
20,2x3,exp,INT,0.01,2,0,0,0,1,0.0094,0.0092,0,0,0,0
20,2x3,exp,PAR,0.05,4,0,0,0,1,0.0476,0.0472,0,0,0,0
20,2x3,exp,RNK,0.05,4,0,0,0,1,0.051,0.0444,0,0,0,0
20,2x3,exp,ART,0.05,4,0,0,0,1,0.863,0.8616,0,0,0,0
20,2x3,exp,INT,0.05,4,0,0,0,1,0.0534,0.0492,0,0,0,0
20,2x3,exp,PAR,0.01,4,0,0,0,0.9998,0.01,0.0104,0,0,0,0
20,2x3,exp,RNK,0.01,4,0,0,0,1,0.0124,0.0096,0,0,0,0
20,2x3,exp,ART,0.01,4,0,0,0,1,0.602,0.5982,0,0,0,0
20,2x3,exp,INT,0.01,4,0,0,0,1,0.0104,0.0106,0,0,0,0
20,2x3,exp,PAR,0.05,8,0,0,0,1,0.049,0.049,0,0,0,0
20,2x3,exp,RNK,0.05,8,0,0,0,1,0.0568,0.0504,0,0,0,0
20,2x3,exp,ART,0.05,8,0,0,0,1,0.9294,0.9302,0,0,0,0
20,2x3,exp,INT,0.05,8,0,0,0,1,0.0574,0.052,0,0,0,0
20,2x3,exp,PAR,0.01,8,0,0,0,1,0.0106,0.0106,0,0,0,0
20,2x3,exp,RNK,0.01,8,0,0,0,1,0.0114,0.0104,0,0,0,0
20,2x3,exp,ART,0.01,8,0,0,0,1,0.7048,0.7036,0,0,0,0
20,2x3,exp,INT,0.01,8,0,0,0,1,0.0102,0.0106,0,0,0,0
20,2x3,binom,PAR,0.05,0,0,0,0,0.059,0.0512,0.0498,0,0,0,0
20,2x3,binom,RNK,0.05,0,0,0,0,0.0542,0.0518,0.0514,0,0,0,0
20,2x3,binom,ART,0.05,0,0,0,0,0.0942,0.054,0.0596,0,0,0,0
20,2x3,binom,INT,0.05,0,0,0,0,0.0572,0.05,0.0516,0,0,0,0
20,2x3,binom,PAR,0.01,0,0,0,0,0.0118,0.0124,0.0112,0,0,0,0
20,2x3,binom,RNK,0.01,0,0,0,0,0.0118,0.0112,0.011,0,0,0,0
20,2x3,binom,ART,0.01,0,0,0,0,0.0304,0.0126,0.015,0,0,0,0
20,2x3,binom,INT,0.01,0,0,0,0,0.0112,0.012,0.0108,0,0,0,0
20,2x3,binom,PAR,0.05,0.5,0.5,0,0,0.6696,0.437,0.0628,0,0,0,0
20,2x3,binom,RNK,0.05,0.5,0.5,0,0,0.6412,0.4152,0.0528,0,0,0,0
20,2x3,binom,ART,0.05,0.5,0.5,0,0,0.6498,0.4432,0.0908,0,0,0,0
20,2x3,binom,INT,0.05,0.5,0.5,0,0,0.6652,0.4326,0.0574,0,0,0,0
20,2x3,binom,PAR,0.01,0.5,0.5,0,0,0.4246,0.222,0.0112,0,0,0,0
20,2x3,binom,RNK,0.01,0.5,0.5,0,0,0.3974,0.2086,0.0094,0,0,0,0
20,2x3,binom,ART,0.01,0.5,0.5,0,0,0.4338,0.2386,0.0252,0,0,0,0
20,2x3,binom,INT,0.01,0.5,0.5,0,0,0.4254,0.2206,0.009,0,0,0,0
20,2x3,binom,PAR,0.05,1,1,0,0,0.9968,0.9568,0.2586,0,0,0,0
20,2x3,binom,RNK,0.05,1,1,0,0,0.9932,0.9384,0.1178,0,0,0,0
20,2x3,binom,ART,0.05,1,1,0,0,0.9888,0.964,0.3508,0,0,0,0
20,2x3,binom,INT,0.05,1,1,0,0,0.9962,0.953,0.1706,0,0,0,0
20,2x3,binom,PAR,0.01,1,1,0,0,0.9762,0.8604,0.104,0,0,0,0
20,2x3,binom,RNK,0.01,1,1,0,0,0.9658,0.8202,0.0324,0,0,0,0
20,2x3,binom,ART,0.01,1,1,0,0,0.965,0.8962,0.1774,0,0,0,0
20,2x3,binom,INT,0.01,1,1,0,0,0.9752,0.8516,0.059,0,0,0,0
20,2x3,binom,PAR,0.05,2,2,0,0,1,1,0.9886,0,0,0,0
20,2x3,binom,RNK,0.05,2,2,0,0,1,1,0.758,0,0,0,0
20,2x3,binom,ART,0.05,2,2,0,0,1,1,0.9972,0,0,0,0
20,2x3,binom,INT,0.05,2,2,0,0,1,1,0.9292,0,0,0,0
