n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX2
10,4x3,exp,PAR,0.05,0.5,0,0,0.0499
10,4x3,exp,RNK,0.05,0.5,0,0,0.047
10,4x3,exp,ART,0.05,0.5,0,0,0.0676
10,4x3,exp,INT,0.05,0.5,0,0,0.0467
10,4x3,exp,PAR,0.01,0.5,0,0,0.0095
10,4x3,exp,RNK,0.01,0.5,0,0,0.0105
10,4x3,exp,ART,0.01,0.5,0,0,0.0178
10,4x3,exp,INT,0.01,0.5,0,0,0.0097
10,4x3,exp,PAR,0.05,1,0,0,0.0485
10,4x3,exp,RNK,0.05,1,0,0,0.0484
10,4x3,exp,ART,0.05,1,0,0,0.105
10,4x3,exp,INT,0.05,1,0,0,0.0489
10,4x3,exp,PAR,0.01,1,0,0,0.0073
10,4x3,exp,RNK,0.01,1,0,0,0.0086
10,4x3,exp,ART,0.01,1,0,0,0.0329
10,4x3,exp,INT,0.01,1,0,0,0.0091
10,4x3,exp,PAR,0.05,2,0,0,0.0469
10,4x3,exp,RNK,0.05,2,0,0,0.0501
10,4x3,exp,ART,0.05,2,0,0,0.2509
10,4x3,exp,INT,0.05,2,0,0,0.0499
10,4x3,exp,PAR,0.01,2,0,0,0.0079
10,4x3,exp,RNK,0.01,2,0,0,0.0113
10,4x3,exp,ART,0.01,2,0,0,0.1311
10,4x3,exp,INT,0.01,2,0,0,0.0103
10,4x3,exp,PAR,0.05,4,0,0,0.0449
10,4x3,exp,RNK,0.05,4,0,0,0.0511
10,4x3,exp,ART,0.05,4,0,0,0.5439
10,4x3,exp,INT,0.05,4,0,0,0.0506
10,4x3,exp,PAR,0.01,4,0,0,0.0085
10,4x3,exp,RNK,0.01,4,0,0,0.0089
10,4x3,exp,ART,0.01,4,0,0,0.4015
10,4x3,exp,INT,0.01,4,0,0,0.0083
10,4x3,exp,PAR,0.05,8,0,0,0.0471
10,4x3,exp,RNK,0.05,8,0,0,0.0487
10,4x3,exp,ART,0.05,8,0,0,0.7735
10,4x3,exp,INT,0.05,8,0,0,0.0479
10,4x3,exp,PAR,0.01,8,0,0,0.0081
10,4x3,exp,RNK,0.01,8,0,0,0.0095
10,4x3,exp,ART,0.01,8,0,0,0.6619
10,4x3,exp,INT,0.01,8,0,0,0.0085
20,4x3,exp,PAR,0.05,0,0,0,0.0494
20,4x3,exp,RNK,0.05,0,0,0,0.0502
20,4x3,exp,ART,0.05,0,0,0,0.0513
20,4x3,exp,INT,0.05,0,0,0,0.049
20,4x3,exp,PAR,0.01,0,0,0,0.0076
20,4x3,exp,RNK,0.01,0,0,0,0.0089
20,4x3,exp,ART,0.01,0,0,0,0.0099
